,ppg_time,ppg_sig
4015,20.075,-73.36430783427478
4016,20.080000000000002,-70.73138305323327
4017,20.085,-68.13257750974948
4018,20.09,-65.57860551634366
4019,20.095,-63.07914962970156
4020,20.1,-60.64283086713325
4021,20.105,-58.27718105985435
4022,20.11,-55.988621536224954
4023,20.115000000000002,-53.782451514378955
4024,20.12,-51.66284221725919
4025,20.125,-49.63282561512173
4026,20.13,-47.69426747677627
4027,20.135,-45.847823932906806
4028,20.14,-44.092891137482894
4029,20.145,-42.42755954678666
4030,20.150000000000002,-40.84857735427757
4031,20.155,-39.35132100454665
4032,20.16,-37.92977412879244
4033,20.165,-36.57653003321593
4034,20.17,-35.28284613349435
4035,20.175,-34.03877795021868
4036,20.18,-32.83340164067717
4037,20.185,-31.65510718651269
4038,20.19,-30.491925137992027
4039,20.195,-29.331849170937833
4040,20.2,-28.163133190967677
4041,20.205000000000002,-26.97456256411475
