,ecg_time,ecg_sig
15124,75.62,1146.9090398256476
15125,75.625,853.1397486234675
15126,75.63,520.7319883660017
15127,75.635,193.45696739041884
15128,75.64,-96.55095626362262
15129,75.645,-336.5266519791482
15130,75.65,-532.2021090802225
15131,75.655,-698.6104538870401
15132,75.66,-847.9654886449508
15133,75.665,-982.5344625061554
15134,75.67,-1095.7436955064827
15135,75.675,-1177.9180664951314
15136,75.68,-1221.8850100661207
15137,75.685,-1226.843825781424
15138,75.69,-1199.9682629116296
15139,75.69500000000001,-1154.3811412996906
15140,75.7,-1103.9625694354752
15141,75.705,-1058.5318683362884
15142,75.71000000000001,-1022.3596223491614
15143,75.715,-995.6160864065282
15144,75.72,-976.740032671914
15145,75.72500000000001,-964.1509777337806
15146,75.73,-956.1878250728167
15147,75.735,-949.3573741719094
15148,75.74,-937.3887233023092
15149,75.745,-913.7678758988476
15150,75.75,-876.4690210930926
15151,75.755,-830.263972108335
15152,75.76,-784.2598845842692
15153,75.765,-747.2468941604172
15154,75.77,-724.5615740302131
15155,75.775,-717.2142485734474
15156,75.78,-722.0223146906956
15157,75.785,-732.3034761522191
15158,75.79,-739.5917264461937
15159,75.795,-736.3203596770875
15160,75.8,-718.75053757583
15161,75.805,-689.1191876287327
15162,75.81,-655.4236730991335
15163,75.815,-627.5840505523289
15164,75.82000000000001,-611.4476048342235
15165,75.825,-605.0121149208833
15166,75.83,-600.1922337799139
15167,75.83500000000001,-588.7288520085868
15168,75.84,-567.5118626677903
15169,75.845,-539.752978753934
15170,75.85000000000001,-512.023623035268
15171,75.855,-489.81529737305436
15172,75.86,-474.76029970758464
15173,75.865,-465.08212466093994
15174,75.87,-458.1230190913835
15175,75.875,-452.2611325497126
15176,75.88,-446.9700089060684
15177,75.885,-442.33510562296675
15178,75.89,-439.4146682844158
15179,75.895,-440.3704803075632
15180,75.9,-446.18005476650546
15181,75.905,-452.1069362589643
15182,75.91,-444.2609271053947
15183,75.915,-400.8892648431153
15184,75.92,-299.33974819057204
15185,75.925,-126.29132987390258
15186,75.93,113.40656454534644
15187,75.935,394.34549292464277
15188,75.94,677.373666157509
15189,75.94500000000001,923.4546536126865
15190,75.95,1107.5578349377042
15191,75.955,1224.5913645172861
15192,75.96000000000001,1283.766611037776
15193,75.965,1295.2387467377912
15194,75.97,1258.7205205567916
15195,75.97500000000001,1163.3222575241625
15196,75.98,999.7698064290915
15197,75.985,775.5665288388764
15198,75.99,519.9988203169967
15199,75.995,273.50833656865495
15200,76.0,68.22859158528792
15201,76.005,-87.3861828301626
15202,76.01,-210.3995863167405
15203,76.015,-330.5730909981476
15204,76.02,-469.73091175214046
15205,76.025,-625.4306053436691
15206,76.03,-770.8023296297729
15207,76.035,-873.4425110832714
15208,76.04,-921.247206529453
15209,76.045,-933.4482633419999
15210,76.05,-942.9636028829586
15211,76.055,-960.4607543213947
15212,76.06,-952.268513936295
15213,76.065,-861.1672099456337
15214,76.07000000000001,-668.3633335565063
15215,76.075,-457.154982517938
15216,76.08,-418.0495135097776
15217,76.08500000000001,-746.4321831934553
15218,76.09,-1440.037382831357
15219,76.095,-2102.368475781475
15220,76.10000000000001,-1939.2074966472867
15221,76.105,-86.50396497431535
15222,76.11,3815.3863697405427
15223,76.115,9146.207332890377
15224,76.12,14324.613283092598
15225,76.125,17443.74690027134
15226,76.13,17217.993597452787
15227,76.135,13679.301197720763
15228,76.14,8184.282497924627
15229,76.145,2716.8814987476053
15230,76.15,-1095.2834499663984
15231,76.155,-2676.630542834433
15232,76.16,-2548.864679146913
15233,76.165,-1788.1254455040394
15234,76.17,-1306.3965260642226
15235,76.175,-1418.6174488690767
15236,76.18,-1893.9222120958143
15237,76.185,-2327.535363170515
15238,76.19,-2487.6042711001205
15239,76.19500000000001,-2404.3653140574056
15240,76.2,-2233.604469664221
15241,76.205,-2088.708634654998
15242,76.21000000000001,-1984.8161887644687
15243,76.215,-1886.5055644010968
15244,76.22,-1768.8626305601456
15245,76.22500000000001,-1635.5263816971578
15246,76.23,-1503.558676578892
15247,76.235,-1386.5400155429486
15248,76.24,-1288.8495581582395
15249,76.245,-1207.2903170034294
15250,76.25,-1135.217747125257
15251,76.255,-1066.7616317627194
15252,76.26,-998.6085448636817
15253,76.265,-928.7302303429942
15254,76.27,-854.8210969262252
15255,76.275,-774.809988450574
15256,76.28,-688.6603269815487
15257,76.285,-599.6195110756502
15258,76.29,-513.9406449617159
15259,76.295,-438.318202742684
15260,76.3,-375.3579422365261
15261,76.305,-320.54927578194355
15262,76.31,-264.79845316160197
15263,76.315,-201.24955360568367
15264,76.32000000000001,-129.76598762568733
15265,76.325,-54.6649179931207
15266,76.33,21.471730386450112
15267,76.33500000000001,101.73896235399529
15268,76.34,193.57953283220982
15269,76.345,303.72398483760765
15270,76.35000000000001,432.89392438678095
15271,76.355,573.5714071658799
15272,76.36,712.7588039140251
15273,76.365,838.8297701917962
15274,76.37,948.3040366349985
15275,76.375,1047.332739354662
15276,76.38,1145.4332890531855
15277,76.385,1244.3418079738997
15278,76.39,1329.3484040217825
15279,76.395,1370.3414780589565
15280,76.4,1333.8272882899053
15281,76.405,1199.325609972879
15282,76.41,970.3322454534048
15283,76.415,674.0195594279407
15284,76.42,350.8367180335257
15285,76.425,39.64474816338475
15286,76.43,-235.08094346159479
15287,76.435,-468.4028994928467
15288,76.44,-669.8129032748399
15289,76.44500000000001,-850.9415624812955
15290,76.45,-1014.2780478820339
15291,76.455,-1150.285305936278
15292,76.46000000000001,-1243.6674247800643
15293,76.465,-1283.4724071147925
15294,76.47,-1270.8445903701518
15295,76.47500000000001,-1220.8330833037928
15296,76.48,-1157.3883822509981
15297,76.485,-1103.4464758357367
15298,76.49,-1071.1951339356763
15299,76.495,-1058.5603982158905
15300,76.5,-1054.1356400465204
15301,76.505,-1046.639200817724
15302,76.51,-1031.994054427834
15303,76.515,-1013.7030366736782
15304,76.52,-997.6320131286056
15305,76.525,-986.0867866675653
15306,76.53,-975.7419803258435
15307,76.535,-960.4248956539295
15308,76.54,-936.0564072814378
15309,76.545,-904.0218036085096
15310,76.55,-871.0392240466493
15311,76.555,-845.9466539126349
15312,76.56,-835.0607511804698
15313,76.565,-838.3235693772613
15314,76.57000000000001,-848.7182117703153
15315,76.575,-856.0869369413247
15316,76.58,-853.235252940241
15317,76.58500000000001,-840.044350641466
15318,76.59,-822.9293704494974
15319,76.595,-810.5328260372871
15320,76.60000000000001,-808.3693946389386
15321,76.605,-814.9388811539144
15322,76.61,-821.4817453284674
15323,76.615,-816.592220748183
15324,76.62,-793.6459595625157
15325,76.625,-755.5560606065413
15326,76.63,-712.573449361759
15327,76.635,-674.9568685459637
15328,76.64,-647.0243326912691
15329,76.645,-627.1472153417617
15330,76.65,-612.2176210299563
15331,76.655,-601.5667316882356
15332,76.66,-596.8885612479805
15333,76.665,-598.8240346842837
15334,76.67,-603.8513939493712
15335,76.675,-604.947987332264
15336,76.68,-596.065444937283
15337,76.685,-576.5736094431381
15338,76.69,-551.62441094337
15339,76.69500000000001,-528.3314553647251
15340,76.7,-511.23954863420755
15341,76.705,-500.3248370611037
15342,76.71000000000001,-492.39563372312557
15343,76.715,-484.72039355452904
15344,76.72,-477.7966480976417
15345,76.72500000000001,-473.4637274196508
15346,76.73,-468.21551937002897
15347,76.735,-447.58424993630587
15348,76.74,-388.06038748897424
15349,76.745,-266.35181838019236
15350,76.75,-70.23994117895715
15351,76.755,193.6105670983754
15352,76.76,497.04131785068023
15353,76.765,795.7450479928932
15354,76.77,1043.8403499008596
15355,76.775,1211.4360412156789
15356,76.78,1293.0981148212104
15357,76.785,1300.40869799031
15358,76.79,1244.9200413759233
15359,76.795,1126.108564704205
15360,76.8,934.866080729918
15361,76.805,670.2130772064827
15362,76.81,355.3515843738322
15363,76.815,38.241417591711155
15364,76.82000000000001,-226.74262914262385
15365,76.825,-404.8856005476336
15366,76.83,-498.0339826152939
15367,76.83500000000001,-541.7274482725301
15368,76.84,-583.6820964870432
15369,76.845,-655.274519481424
15370,76.85000000000001,-753.5930200547402
15371,76.855,-847.880737383846
15372,76.86,-907.309321090442
15373,76.865,-926.809940933955
15374,76.87,-925.489793629782
15375,76.875,-916.7930192947005
15376,76.88,-879.9998027534814
15377,76.885,-767.676774055461
15378,76.89,-556.9371289225162
15379,76.895,-314.585327577651
15380,76.9,-218.69672135304586
15381,76.905,-477.8038908824283
15382,76.91,-1137.6698527240924
15383,76.915,-1871.1510133188272
15384,76.92,-1940.9906694371755
15385,76.925,-485.7975990730834
15386,76.93,2937.332004805103
15387,76.935,7874.210610267462
15388,76.94,12936.938323441645
15389,76.94500000000001,16344.138753510817
15390,76.95,16781.514421841297
15391,76.955,14080.011342772275
15392,76.96000000000001,9299.223080518403
15393,76.965,4170.03383900349
15394,76.97,238.49947252258153
15395,76.97500000000001,-1792.0613280970438
15396,76.98,-2185.2609058783573
15397,76.985,-1777.896935542508
15398,76.99,-1386.8657739356008
15399,76.995,-1400.0234886608168
15400,77.0,-1743.2591255733334
15401,77.005,-2131.569002751312
15402,77.01,-2350.1313433866976
15403,77.015,-2368.880717378308
15404,77.02,-2278.702666086446
15405,77.025,-2171.8558884772215
15406,77.03,-2081.0039460298767
15407,77.035,-1995.248422789955
15408,77.04,-1900.948688517169
15409,77.045,-1799.990413591519
15410,77.05,-1701.520972729605
15411,77.055,-1608.9530552942938
15412,77.06,-1517.5042697753274
15413,77.065,-1420.5260194889406
15414,77.07000000000001,-1315.9574613268817
15415,77.075,-1208.0733098154594
15416,77.08,-1104.9003135502803
15417,77.08500000000001,-1013.513906105715
15418,77.09,-935.7272760244391
15419,77.095,-867.0120239883947
15420,77.10000000000001,-800.0285383605053
15421,77.105,-730.1456206238901
15422,77.11,-657.7496574480615
15423,77.115,-585.100718046283
15424,77.12,-511.4331823131737
15425,77.125,-431.8397668586196
15426,77.13,-341.01316638372066
15427,77.135,-237.79364083640237
15428,77.14,-126.30181587028024
15429,77.145,-13.078656114032952
15430,77.15,97.4000197728754
15431,77.155,205.8246028834676
15432,77.16,317.471981581329
15433,77.165,437.6626890320298
15434,77.17,566.1776236072101
15435,77.175,695.3525682750828
15436,77.18,814.3548956849637
15437,77.185,917.3071365873545
15438,77.19,1009.3836685672596
15439,77.19500000000001,1105.209813476772
15440,77.2,1218.210614364579
15441,77.205,1346.5208766419858
15442,77.21000000000001,1465.7429946553925
15443,77.215,1535.5206725871312
15444,77.22,1516.9266929893163
15445,77.22500000000001,1390.1194604522864
15446,77.23,1162.7899635589856
15447,77.235,866.2721507771042
15448,77.24,542.0054471509536
15449,77.245,225.16120148973673
15450,77.25,-65.73541273039072
15451,77.255,-327.7331738452676
15452,77.26,-563.9761620405027
15453,77.265,-774.7096797774041
15454,77.27,-954.8861105405128
15455,77.275,-1097.4249060687312
15456,77.28,-1197.7766165513513
15457,77.285,-1256.7859702238397
15458,77.29,-1280.955781542738
15459,77.295,-1280.4297399204522
15460,77.3,-1265.9364531962842
15461,77.305,-1245.9608788064752
15462,77.31,-1224.4967894688123
15463,77.315,-1199.9271803833449
15464,77.32000000000001,-1166.7741595625694
15465,77.325,-1120.8690044973903
15466,77.33,-1064.7659735635414
15467,77.33500000000001,-1008.9793697890499
15468,77.34,-967.9228752792199
15469,77.345,-952.9370650592989
15470,77.35000000000001,-965.6576851612178
15471,77.355,-995.2948914614589
15472,77.36,-1023.0726030368164
15473,77.365,-1032.625073258902
15474,77.37,-1018.8274125063729
15475,77.375,-987.8477183054623
15476,77.38,-949.6443368935497
15477,77.385,-910.7407336337975
15478,77.39,-872.5506673263861
15479,77.395,-834.0309295442228
15480,77.4,-795.1928754848192
15481,77.405,-759.5480161606282
15482,77.41,-734.2512950620538
15483,77.415,-726.9029555488822
15484,77.42,-740.3686359602835
15485,77.425,-769.5389263422056
15486,77.43,-802.7362744032044
15487,77.435,-826.6392119122347
15488,77.44,-831.5580004646097
15489,77.44500000000001,-814.6875898785901
15490,77.45,-780.3329942087881
15491,77.455,-737.2216696892473
15492,77.46000000000001,-694.3844739911241
15493,77.465,-657.7205809584655
15494,77.47,-628.4182259743485
15495,77.47500000000001,-603.4626751223252
15496,77.48,-578.4286594129348
15497,77.485,-551.6598670039969
15498,77.49,-526.6093944451252
15499,77.495,-509.5222511186858
15500,77.5,-504.1607620341221
15501,77.505,-508.55257115932534
15502,77.51,-516.3589749659706
15503,77.515,-520.9281943858402
15504,77.52,-518.9037501938287
15505,77.525,-511.81787010372955
15506,77.53,-505.08156750047607
15507,77.535,-504.5292695357225
15508,77.54,-512.5644899733345
15509,77.545,-526.729148990807
15510,77.55,-541.0713755552567
15511,77.555,-547.9119052994915
15512,77.56,-538.1607092094101
15513,77.565,-500.75848113180666
15514,77.57000000000001,-422.6930069179921
15515,77.575,-290.62191053599275
15516,77.58,-95.1299526377486
15517,77.58500000000001,162.30442575809224
15518,77.59,462.97612704054507
15519,77.595,771.2038339549665
15520,77.60000000000001,1044.2083416168082
15521,77.605,1247.3393600641286
15522,77.61,1365.2459807241435
15523,77.615,1401.6304735498338
15524,77.62,1368.2356875466257
15525,77.625,1271.8676837323333
15526,77.63,1110.201565935834
15527,77.635,880.3723152078339
15528,77.64,593.3976190290092
15529,77.645,281.4995765335416
15530,77.65,-9.89080259130452
15531,77.655,-241.9423583679092
15532,77.66,-401.34925436443893
15533,77.665,-505.5616983475647
15534,77.67,-589.8843612093551
15535,77.675,-683.5977378605749
15536,77.68,-790.485584046873
15537,77.685,-887.9856893385256
15538,77.69,-946.6780029971507
15539,77.69500000000001,-954.960950828922
15540,77.7,-926.9401894342639
15541,77.705,-884.3996223237397
15542,77.71000000000001,-828.3767379724742
15543,77.715,-730.4312578274297
15544,77.72,-562.4837297537566
15545,77.72500000000001,-352.6387484947629
15546,77.73,-222.99491201302183
15547,77.735,-354.72506876023544
15548,77.74,-852.7980895279794
15549,77.745,-1555.162994658468
15550,77.75,-1920.3095877582348
15551,77.755,-1152.6602527228997
15552,77.76,1389.6573808635821
15553,77.765,5684.711971693388
15554,77.77,10779.964959303326
15555,77.775,15041.314172907021
15556,77.78,16874.659679539967
15557,77.785,15533.677221665519
15558,77.79,11525.31543398692
